stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,0.8,0.81,34.8402,0.0774,9.6415
2021-06-30,2021-06-30,4.22,4.3,39.9948,0.4175,9.8851
2021-09-30,2021-09-30,6.14,6.44,38.7878,0.632,10.2987
2021-12-31,2021-12-31,8.62,9.2,37.2694,0.9191,10.6617
2022-03-31,2022-03-31,3.54,3.53,37.959,0.3852,10.881
2022-06-30,2022-06-30,3.54,7.43,39.2788,0.7506,21.2252
2022-09-30,2022-09-30,7.0,10.97,39.2956,1.5468,22.111
2022-12-31,2022-12-31,9.5,13.36,37.6232,2.1611,22.7443
2023-03-31,2023-03-31,3.03,3.08,44.3537,0.7124,23.5095
2023-06-30,2023-06-30,6.1,6.24,42.5195,0.9871,16.1757
2023-09-30,2023-09-30,9.5,9.96,41.6043,1.6023,16.8953
2023-12-31,2023-12-31,10.53,11.24,41.7144,1.8142,17.282
2024-03-31,2024-03-31,0.66,0.67,38.7962,0.1133,17.5786
2024-06-30,2024-06-30,3.09,3.13,39.393,0.5406,17.8758
2024-09-30,2024-09-30,4.26,4.37,41.5525,0.5229,12.6102
2024-12-31,2024-12-31,7.54,8.1,36.8317,1.0023,14.031
2025-03-31,2025-03-31,0.17,0.17,32.69,-0.0111,14.1347
2025-06-30,2025-06-30,0.59,0.59,35.0562,0.0512,14.1601
2025-09-30,2025-09-30,-0.37,-0.37,33.1648,-0.13,14.0408
